category,question_text,correct_option,wrong_option_1,wrong_option_2,explanation
"M1","Which of these is a hyponym of 'vehicle'?","Car","Engine","Driver","💡 Hint: အုပ်စုတစ်ခုလုံးကို ကိုယ်စားပြုတဲ့ ယေဘုယျဝေါဟာရ (superordinate) နဲ့ အဲ့ဒီအောက်က အသေးစိတ်အရာတွေ (hyponyms) ရဲ့ ဆက်စပ်မှုကို စဉ်းစားပါ။"
"M1","In the lexical set 'chair, table, sofa', what is the superordinate?","Furniture","Wood","Room","💡 Hint: အုပ်စုတစ်ခုလုံးကို ကိုယ်စားပြုတဲ့ ယေဘုယျဝေါဟာရ (superordinate) နဲ့ အဲ့ဒီအောက်က အသေးစိတ်အရာတွေ (hyponyms) ရဲ့ ဆက်စပ်မှုကို စဉ်းစားပါ။"
"M1","Which phrasal verb means 'to tolerate'?","Put up with","Put off","Put out","💡 Hint: ကိရိယာ (verb) နဲ့ particle တွဲလိုက်ရင် မူလအဓိပ္ပာယ်နဲ့ မတူတော့ဘဲ အဓိပ္ပာယ်အသစ်ထွက်လာတဲ့ phrasal verb ကို သတိပြုပါ။"
"M1","What does the phrasal verb 'give up' mean in this context?","Stop trying","Hand over","Rise up","💡 Hint: ကိရိယာ (verb) နဲ့ particle တွဲလိုက်ရင် မူလအဓိပ္ပာယ်နဲ့ မတူတော့ဘဲ အဓိပ္ပာယ်အသစ်ထွက်လာတဲ့ phrasal verb ကို သတိပြုပါ။"
"M1","Which phrasal verb is closest in meaning to 'discover'?","Find out","Look into","Bring up","💡 Hint: ကိရိယာ (verb) နဲ့ particle တွဲလိုက်ရင် မူလအဓိပ္ပာယ်နဲ့ မတူတော့ဘဲ အဓိပ္ပာယ်အသစ်ထွက်လာတဲ့ phrasal verb ကို သတိပြုပါ။"
"M1","Which synonym for 'child' is the most formal register?","Offspring","Kid","Toddler","💡 Hint: အဓိပ္ပာယ်တူပေမယ့် အသုံးပြုတဲ့ အခြေအနေ (formal vs informal register) ကွာခြားမှုကို ခွဲခြားသိမြင်ဖို့ လိုပါတယ်။"
"M1","Which word is a more formal synonym for 'buy'?","Purchase","Get","Grab","💡 Hint: အဓိပ္ပာယ်တူပေမယ့် အသုံးပြုတဲ့ အခြေအနေ (formal vs informal register) ကွာခြားမှုကို ခွဲခြားသိမြင်ဖို့ လိုပါတယ်။"
"M1","Which synonym for 'tired' would you most likely use in an academic text?","Fatigued","Exhausted","Beat","💡 Hint: အဓိပ္ပာယ်တူပေမယ့် အသုံးပြုတဲ့ အခြေအနေ (formal vs informal register) ကွာခြားမှုကို ခွဲခြားသိမြင်ဖို့ လိုပါတယ်။"
"M1","Which word is an antonym for 'permanent'?","Temporary","Constant","Endless","💡 Hint: ဆန့်ကျင်ဘက် အဓိပ္ပာယ်ရှိတဲ့ စကားလုံး (antonym) ကို ရှာဖွေပါ။"
"M1","Choose the antonym for 'expand'.","Shrink","Grow","Widen","💡 Hint: ဆန့်ကျင်ဘက် အဓိပ္ပာယ်ရှိတဲ့ စကားလုံး (antonym) ကို ရှာဖွေပါ။"
"M1","What is the direct antonym of 'generous'?","Stingy","Kind","Helpful","💡 Hint: ဆန့်ကျင်ဘက် အဓိပ္ပာယ်ရှိတဲ့ စကားလုံး (antonym) ကို ရှာဖွေပါ။"
"M1","Which pair of words are homophones?","Meat / Meet","Read / Book","See / Look","💡 Hint: အသံထွက်တူပေမယ့် စာလုံးပေါင်းနဲ့ အဓိပ္ပာယ်ကွဲတဲ့ စကားလုံးအတွဲ (homophones) ကို ခွဲခြားပါ။"
"M1","Identify the homophone for 'their'.","There","They","Them","💡 Hint: အသံထွက်တူပေမယ့် စာလုံးပေါင်းနဲ့ အဓိပ္ပာယ်ကွဲတဲ့ စကားလုံးအတွဲ (homophones) ကို ခွဲခြားပါ။"
"M1","Which word is a homophone of 'write'?","Right","White","Ride","💡 Hint: အသံထွက်တူပေမယ့် စာလုံးပေါင်းနဲ့ အဓိပ္ပာယ်ကွဲတဲ့ စကားလုံးအတွဲ (homophones) ကို ခွဲခြားပါ။"
"M1","Which modal verb expresses ability in the past?","Could","Should","Might","💡 Hint: လုပ်နိုင်စွမ်း (ability) ကို အတိတ်ကာလအတွက် ပြချင်ရင် ဘယ် modal verb သုံးလဲ စဉ်းစားပါ။"
"M1","Which modal is used to ask for permission politely?","May","Must","Will","💡 Hint: ခွင့်ပြုချက်တောင်းခံတဲ့အခါ ယဉ်ကျေးတဲ့အသုံးအနှုန်း (polite permission) ကို ရွေးချယ်ပါ။"
"M1","Which modal verb shows an obligation or necessity?","Must","Can","Would","💡 Hint: မဖြစ်မနေ လုပ်ရမယ့် တာဝန် (obligation/necessity) ကို ဖော်ပြတဲ့ modal verb ကို ရှာပါ။"
"M1","Which modal shows high certainty that something is true? (He ___ be home, the lights are on)","Must","Can","Might","💡 Hint: ပေးထားတဲ့ အထောက်အထားအရ သေချာပေါက်ဖြစ်နိုင်ခြေ (deduction/certainty) ကို ဖော်ပြတဲ့ modal ကို ရွေးပါ။"
"M1","Which modal is used for a negative logical deduction? (That ___ be John, he is in Paris)","Can't","Mustn't","Might not","💡 Hint: ပေးထားတဲ့ အထောက်အထားအရ လုံးဝမဖြစ်နိုင်ဘူးလို့ ကောက်ချက်ချတဲ့အခါ (negative deduction) သုံးတဲ့ modal ကို ရွေးပါ။"
"M1","Which modal expresses a future possibility? (It ___ rain tomorrow)","Might","Must","Can","💡 Hint: သေချာရေရာမှုမရှိတဲ့ အနာဂတ်ဖြစ်နိုင်ခြေ (possibility) ကို ဖော်ပြတဲ့ modal ကို ရွေးပါ။"
"M1","Which sentence is a First Conditional?","If it rains, we will stay home.","If it rained, we would stay home.","If it had rained, we would have stayed home.","💡 Hint: တကယ်ဖြစ်နိုင်ခြေရှိတဲ့ အနာဂတ်အခြေအနေတွေအတွက် (If + Present, ... will) pattern ကို သုံးပါတယ်။"
"M1","Complete the First Conditional: If you study hard, you ___ the exam.","Will pass","Would pass","Passed","💡 Hint: တကယ်ဖြစ်နိုင်ခြေရှိတဲ့ အနာဂတ်အခြေအနေတွေအတွက် (If + Present, ... will) pattern ကို သုံးပါတယ်။"
"M1","Identify the structure used in First Conditional sentences.","If + Present Simple, will + base verb","If + Past Simple, would + base verb","If + Past Perfect, would have + past participle","💡 Hint: တကယ်ဖြစ်နိုင်ခြေရှိတဲ့ အနာဂတ်အခြေအနေတွေအတွက် (If + Present, ... will) pattern ကို သုံးပါတယ်။"
"M1","Which sentence is a Second Conditional?","If I had a million dollars, I would travel.","If I have a million dollars, I will travel.","If I had had a million dollars, I would have traveled.","💡 Hint: လက်ရှိမှာ မဖြစ်နိုင်တဲ့၊ စိတ်ကူးယဉ် အခြေအနေတွေအတွက် (If + Past, ... would) pattern ကို သုံးပါတယ်။"
"M1","Complete the Second Conditional: If she knew the answer, she ___ tell you.","Would","Will","Can","💡 Hint: လက်ရှိမှာ မဖြစ်နိုင်တဲ့၊ စိတ်ကူးယဉ် အခြေအနေတွေအတွက် (If + Past, ... would) pattern ကို သုံးပါတယ်။"
"M1","What does the Second Conditional express?","A hypothetical or unreal present/future situation.","A real possibility in the future.","A regret about the past.","💡 Hint: လက်ရှိမှာ မဖြစ်နိုင်တဲ့၊ စိတ်ကူးယဉ် အခြေအနေတွေအတွက် (If + Past, ... would) pattern ကို သုံးပါတယ်။"
"M1","Which sentence uses the Present Perfect for life experience?","I have visited Japan twice.","I am visiting Japan.","I visited Japan last year.","💡 Hint: အတိတ်က အတွေ့အကြုံဖြစ်ပြီး အချိန်အတိအကျ (time word) မပါတဲ့အခါ Present Perfect ကို သုံးပါတယ်။"
"M1","Choose the correct sentence to ask about an experience.","Have you ever eaten sushi?","Did you ever eat sushi?","Do you ever eat sushi?","💡 Hint: အတိတ်က အတွေ့အကြုံဖြစ်ပြီး အချိန်အတိအကျ (time word) မပါတဲ့အခါ Present Perfect ကို သုံးပါတယ်။"
"M1","Why do we use Present Perfect in 'She has read that book'?","To focus on the result/experience in the present.","To show an action happening right now.","To state a clear past event with a specific time.","💡 Hint: အတိတ်က အတွေ့အကြုံဖြစ်ပြီး အချိန်အတိအကျ (time word) မပါတဲ့အခါ Present Perfect ကို သုံးပါတယ်။"
"M1","Which tense is used here: 'I am meeting him tomorrow at 5 PM'?","Present Continuous for future arrangements.","Present Simple for routines.","Future Simple for predictions.","💡 Hint: သေချာစီစဉ်ထားပြီးသား အနာဂတ်အစီအစဉ် (arrangements) တွေအတွက် Present Continuous ကို သုံးပါတယ်။"
"M1","Complete for a future arrangement: We ___ dinner with them tonight.","Are having","Have","Had","💡 Hint: သေချာစီစဉ်ထားပြီးသား အနာဂတ်အစီအစဉ် (arrangements) တွေအတွက် Present Continuous ကို သုံးပါတယ်။"
"M1","Why use Present Continuous for the future?","Because the plan is already organized and confirmed.","Because it is a sudden decision.","Because it is a general truth.","💡 Hint: သေချာစီစဉ်ထားပြီးသား အနာဂတ်အစီအစဉ် (arrangements) တွေအတွက် Present Continuous ကို သုံးပါတယ်။"
"M1","Which sentence is in the Passive Voice?","The letter was written by Mary.","Mary wrote the letter.","Mary is writing the letter.","💡 Hint: ပြုလုပ်သူ (doer) ထက် ပြုလုပ်ခံရတဲ့အရာ (receiver/action) ကို ပိုအသားပေးချင်တဲ့အခါ Passive Voice ကို သုံးပါတယ်။"
"M1","Complete the Passive sentence: The house ___ built in 1990.","Was","Is","Has","💡 Hint: ပြုလုပ်သူ (doer) ထက် ပြုလုပ်ခံရတဲ့အရာ (receiver/action) ကို ပိုအသားပေးချင်တဲ့အခါ Passive Voice ကို သုံးပါတယ်။"
"M1","Why do we use the Passive Voice?","When the focus is on the action, not who did it.","When we want to show a habit.","When describing a past state.","💡 Hint: ပြုလုပ်သူ (doer) ထက် ပြုလုပ်ခံရတဲ့အရာ (receiver/action) ကို ပိုအသားပေးချင်တဲ့အခါ Passive Voice ကို သုံးပါတယ်။"
"M1","Which relative pronoun is used for people?","Who","Which","Where","💡 Hint: လူ (who)၊ အရာဝတ္ထု (which)၊ နေရာ (where) ကို ကိုယ်စားပြုတဲ့ နာမ်စား (relative pronoun) တွေကို ခွဲခြားပါ။"
"M1","Complete the sentence: The book ___ I read was great.","Which","Who","Where","💡 Hint: လူ (who)၊ အရာဝတ္ထု (which)၊ နေရာ (where) ကို ကိုယ်စားပြုတဲ့ နာမ်စား (relative pronoun) တွေကို ခွဲခြားပါ။"
"M1","Which relative pronoun is used for places?","Where","Which","Who","💡 Hint: လူ (who)၊ အရာဝတ္ထု (which)၊ နေရာ (where) ကို ကိုယ်စားပြုတဲ့ နာမ်စား (relative pronoun) တွေကို ခွဲခြားပါ။"
"M1","Which quantifier is typically used in positive sentences for uncountable nouns?","Some","Any","Many","💡 Hint: ရေတွက်လို့ရ/မရ ပေါ်မူတည်ပြီး quantifier (some/any/many/much) အသုံးအနှုန်း ကွာပါတယ်။ 'Some' ကို positive မှာ သုံးလေ့ရှိပါတယ်။"
"M1","Complete the negative sentence: I don't have ___ money.","Any","Some","Many","💡 Hint: ရေတွက်လို့ရ/မရ ပေါ်မူတည်ပြီး quantifier (some/any/many/much) အသုံးအနှုန်း ကွာပါတယ်။ 'Any' ကို negative နဲ့ မေးခွန်းတွေမှာ သုံးလေ့ရှိပါတယ်။"
