category,question_text,correct_option,wrong_option_1,wrong_option_2,explanation
"M1","Which activity practices skimming?","Reading a headline to see what the article is about.","Looking in a phone book for a specific number.","Reading a contract to find the exact penalty.","စာပိုဒ်တစ်ပိုဒ်လုံးရဲ့ အဓိကအကြောင်းအရာ (main idea) ကို အကြမ်းဖျင်းသိဖို့ အမြန်ဖတ်တာကို Skimming လို့ ခေါ်ပါတယ်။"
"M1","Why might a teacher ask students to skim a text first?","To get a general understanding before detailed reading.","To check their pronunciation aloud.","To memorize the vocabulary.","စာပိုဒ်တစ်ပိုဒ်လုံးရဲ့ အဓိကအကြောင်းအရာ (main idea) ကို အကြမ်းဖျင်းသိဖို့ အမြန်ဖတ်တာကို Skimming လို့ ခေါ်ပါတယ်။"
"M1","Reading quickly to find specific information (like a date or name) is called:","Scanning","Skimming","Inferring","မိမိလိုချင်တဲ့ အချက်အလက် (ဥပမာ- ရက်စွဲ၊ နာမည်) ကိုပဲ သီးသန့်ရှာဖွေဖို့ အမြန်ဖတ်တာကို Scanning လို့ ခေါ်ပါတယ်။"
"M1","Which task requires scanning?","Finding a train departure time on a timetable.","Reading a novel for pleasure.","Summarizing the plot of a story.","မိမိလိုချင်တဲ့ အချက်အလက် (ဥပမာ- ရက်စွဲ၊ နာမည်) ကိုပဲ သီးသန့်ရှာဖွေဖို့ အမြန်ဖတ်တာကို Scanning လို့ ခေါ်ပါတယ်။"
"M1","When scanning, the reader should:","Look only for keywords related to the task.","Read every single word carefully.","Focus on the grammar structures.","မိမိလိုချင်တဲ့ အချက်အလက် (ဥပမာ- ရက်စွဲ၊ နာမည်) ကိုပဲ သီးသန့်ရှာဖွေဖို့ အမြန်ဖတ်တာကို Scanning လို့ ခေါ်ပါတယ်။"
"M1","Listening to a story to enjoy the plot is an example of:","Extensive listening","Intensive listening","Listening for pronunciation","အသေးစိတ်မဟုတ်ဘဲ ခြုံငုံနားလည်ဖို့ သို့မဟုတ် ပျော်ရွှင်မှုအတွက် အများကြီးနားထောင်တာကို Extensive listening လို့ ခေါ်ပါတယ်။"
"M1","Listening to an announcement to hear which platform your train is on is:","Listening for specific information","Listening for gist","Listening for attitude","မိမိလိုချင်တဲ့ သတင်းအချက်အလက်ကိုပဲ အာရုံစိုက်ပြီး နားထောင်တာ (Listening for specific information) ဖြစ်ပါတယ်။"
"M1","Listening to a speaker's tone of voice to know if they are angry is:","Listening for attitude","Listening for gist","Extensive listening","စကားပြောသူရဲ့ လေသံကို နားထောင်ပြီး ခံစားချက်ကို သိရှိတာက (Listening for attitude/mood) ဖြစ်ပါတယ်။"
"M1","Speaking without stopping or hesitating too much is called:","Fluency","Accuracy","Complexity","အမှားကင်းဖို့ထက် စကားကို တုံ့ဆိုင်းမနေဘဲ ချောမွေ့စွာ ဆက်တိုက်ပြောနိုင်တာကို Fluency လို့ ခေါ်ပါတယ်။"
"M1","Focusing on using correct grammar and vocabulary during speech is called:","Accuracy","Fluency","Interaction","စကားပြောရာမှာ သဒ္ဒါနဲ့ ဝေါဟာရ အမှားကင်းကင်း မှန်ကန်စွာ ပြောဆိုနိုင်တာကို Accuracy လို့ ခေါ်ပါတယ်။"
"M1","Which activity focuses more on fluency than accuracy?","A free role-play","A grammar drill","A pronunciation exercise","Fluency ကို ဦးစားပေးတဲ့ လေ့ကျင့်ခန်းတွေမှာ အမှားပြင်တာထက် လွတ်လပ်စွာ ပြောဆိုဆက်သွယ်နိုင်ဖို့ (free practice) ကို အားပေးပါတယ်။"
"M1","Knowing when it is your turn to speak in a conversation is called:","Turn-taking","Prompting","Paraphrasing","စကားဝိုင်းတစ်ခုမှာ ဘယ်အချိန် ကိုယ်ဝင်ပြောရမလဲ၊ ဘယ်အချိန် နားထောင်ရမလဲ ဆိုတာကို နားလည်တာ Turn-taking ဖြစ်ပါတယ်။"
"M1","Using expressions like 'Uh-huh' or 'I see' to show you are listening is:","Active listening","Interrupting","Fluency","တစ်ဖက်လူပြောတာကို စိတ်ဝင်တစား နားထောင်နေကြောင်း ပြသတဲ့ လေ့ကျင့်မှု (Active listening) ဖြစ်ပါတယ်။"
"M1","Rephrasing something when the listener does not understand is a:","Communication strategy","Pronunciation skill","Grammar rule","နားမလည်တဲ့အခါ တခြားစကားလုံးတွေပြောင်းပြီး ရှင်းပြနိုင်တာဟာ ကောင်းမွန်တဲ့ ဆက်သွယ်ရေးနည်းဗျူဟာ (Communication strategy) ပါ။"
"M1","Generating ideas before starting to write is called:","Brainstorming","Drafting","Editing","စာမရေးခင်မှာ အကြံဉာဏ်တွေကို အရင်ဆုံး စုစည်းစဉ်းစားတာကို Brainstorming လို့ ခေါ်ပါတယ်။"
"M1","Writing the first version of a text is known as:","Drafting","Proofreading","Brainstorming","အမှားတွေကို သိပ်ဂရုမစိုက်ဘဲ အကြမ်းဖျင်း ပထမဆုံး စရေးကြည့်တာကို Drafting လို့ ခေါ်ပါတယ်။"
"M1","Checking a written text for spelling and grammar mistakes is:","Proofreading","Drafting","Brainstorming","အားလုံးရေးပြီးမှ သဒ္ဒါနဲ့ စာလုံးပေါင်း အမှားတွေကို လိုက်လံစစ်ဆေး ပြင်ဆင်တာက Proofreading/Editing ဖြစ်ပါတယ်။"
"M1","Using words like 'However', 'Therefore', and 'And' to link sentences is:","Cohesion","Coherence","Drafting","ဝါကျတစ်ခုနဲ့တစ်ခု ဆက်စပ်မှုရှိအောင် ချိတ်ဆက်ပေးတဲ့ စကားလုံး (linking words) တွေသုံးတာကို Cohesion လို့ခေါ်ပါတယ်။"
"M1","If a text makes logical sense and the ideas flow well, it has:","Coherence","Cohesion","Accuracy","စာပိုဒ်တစ်ခုလုံးရဲ့ အဓိပ္ပာယ်နဲ့ အကြံဉာဏ်တွေ ယုတ္တိရှိရှိ စီးဆင်းနေတာကို Coherence လို့ခေါ်ပါတယ်။"
"M1","Which word is a cohesive device showing contrast?","Although","Furthermore","Because","ဆန့်ကျင်ဘက် အဓိပ္ပာယ်ကို ချိတ်ဆက်ပေးတဲ့ cohesive device (ဥပမာ - but, although, however) ကို ရွေးပါ။"
"M1","A phrase where the meaning is different from the individual words is an:","Idiom","Antonym","Adverb","စကားလုံးတစ်လုံးချင်းစီရဲ့ အဓိပ္ပာယ်နဲ့ မတူဘဲ တင်စားထားတဲ့ အသုံးအနှုန်းကို Idiom (ဗန်းစကား/ အီဒီယမ်) လို့ ခေါ်ပါတယ်။"
"M1","'It is raining cats and dogs' is an example of an:","Idiom","Collocation","Phrasal verb","စကားလုံးတစ်လုံးချင်းစီရဲ့ အဓိပ္ပာယ်နဲ့ မတူဘဲ တင်စားထားတဲ့ အသုံးအနှုန်းကို Idiom (ဗန်းစကား/ အီဒီယမ်) လို့ ခေါ်ပါတယ်။"
"M1","Why are idioms difficult for learners?","You cannot guess the meaning from the individual words.","They are spelled incorrectly.","They are too formal.","စကားလုံးတစ်လုံးချင်းစီရဲ့ အဓိပ္ပာယ်နဲ့ မတူဘဲ တင်စားထားတဲ့ အသုံးအနှုန်းကို Idiom (ဗန်းစကား/ အီဒီယမ်) လို့ ခေါ်ပါတယ်။"
"M1","Which part of speech describes a verb?","Adverb","Adjective","Noun","ကိရိယာ (verb) ကို အထူးပြုပေးတဲ့ စကားလုံး (Adverb) ကို ရွေးချယ်ပါ။"
"M1","Which part of speech describes a noun?","Adjective","Adverb","Preposition","နာမ် (noun) ကို အထူးပြုပေးတဲ့ စကားလုံး (Adjective) ကို ရွေးချယ်ပါ။"
"M1","In the sentence 'She sings beautifully', what is 'beautifully'?","Adverb","Adjective","Verb","ကိရိယာ (verb) ကို အထူးပြုပေးတဲ့ စကားလုံး (Adverb) ကို ရွေးချယ်ပါ။"
"M1","Which preposition of time is used with specific days (e.g., Monday)?","On","In","At","ရက်တွေ (days of the week) ရှေ့မှာသုံးတဲ့ အချိန်ပြ ဝိဘတ် (preposition of time) ကို ရွေးပါ။"
"M1","Which preposition of time is used with months (e.g., January)?","In","On","At","လတွေ (months) နဲ့ နှစ်တွေ (years) ရှေ့မှာသုံးတဲ့ အချိန်ပြ ဝိဘတ် (preposition of time) ကို ရွေးပါ။"
