"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M3","The purpose of an Instruction Checking Question (ICQ) is to:","Ensure learners know exactly what they need to do in the activity.","Check if they understand a grammar rule.","Test their speaking fluency.","ကျောင်းသားတွေ လေ့ကျင့်ခန်းလုပ်တဲ့အခါ အမှားအယွင်းမရှိ ချောမွေ့စေဖို့အတွက် လုပ်ငန်းစဉ်အဆင့်ဆင့်ကို ရှင်းပြပြီးတိုင်း ICQ နဲ့ ပြန်လည်စစ်ဆေးသင့်ပါတယ်။"
"M3","A teacher says, 'Read the text and answer the three questions. Do you need to write full sentences? No.' What did the teacher just use?","An ICQ","A CCQ","A Drill","ICQ မေးတဲ့အခါ 'ဘယ်နှမိနစ် အချိန်ရမလဲ'၊ 'စာရေးရမှာလား၊ ပြောရမှာလား' စတဲ့ လုပ်ငန်းစဉ်နဲ့ သက်ဆိုင်တဲ့ မေးခွန်းတိုလေးတွေကိုသာ မေးလေ့ရှိပါတယ်။"
"M3","When a teacher simplifies their vocabulary and speaks slightly slower to match the learners' level, this is called:","Grading language","Eliciting","Over-correction","ကျောင်းသားတွေရဲ့ အဆင့် (Level) နဲ့ ကိုက်ညီအောင် ဆရာက စကားလုံးနဲ့ သဒ္ဒါကို လွယ်ကူအောင် လျှော့ချသုံးစွဲတာကို Grading language လို့ခေါ်ပါတယ်။"
"M3","A teacher says 'Make a circle' instead of 'Form a circular arrangement' to a beginner class. This demonstrates:","Grading language appropriately","Using L1","A lack of vocabulary","Grading language ဆိုတာ ဆရာက ကျောင်းသားတွေ နားလည်နိုင်မယ့် အသုံးအနှုန်းကို ရွေးချယ်ပြီး ရှင်းလင်းစွာ ပြောဆိုခြင်းဖြစ်ပါတယ်။"
"M3","Why must teachers be careful to grade their language?","To ensure learners can understand instructions and input without feeling overwhelmed.","To make the learners feel bad.","To teach them highly academic words.","ဆရာပြောတဲ့စကားကို ကျောင်းသားတွေ သေချာနားလည်နိုင်ဖို့အတွက် ခက်ခဲတဲ့စကားလုံးတွေကို ရှောင်ပြီး လွယ်ကူတဲ့စကားလုံးတွေနဲ့ အစားထိုးပြောတာကို Grading လို့ခေါ်ပါတယ်။"
"M3","Giving instructions in a logical, step-by-step order is known as:","Sequencing","Prompting","Assessing","လေ့ကျင့်ခန်းတစ်ခု လုပ်ခိုင်းတဲ့အခါ လုပ်ရမယ့်အဆင့်တွေကို ရှုပ်ထွေးမသွားအောင် တစ်ဆင့်ချင်းစီ အစဉ်လိုက် ပြောပြတာကို Sequencing instructions လို့ခေါ်ပါတယ်။"
"M3","Which is the best sequence for setting up a reading task?","Give the handout -> Ask the ICQ -> Tell them to start.","Tell them to start -> Give the handout -> Ask the ICQ.","Ask the ICQ -> Tell them to start -> Give the handout.","ညွှန်ကြားချက်တွေ ပေးတဲ့အခါ အရင်ဆုံး ပစ္စည်း/စာရွက်ဝေတာ၊ ပြီးမှ ဘာလုပ်ရမလဲရှင်းပြတာ၊ နားလည်မလည် စစ်ဆေး (ICQ) တာ စသဖြင့် အစီအစဉ်တကျဖြစ်ဖို့ အရေးကြီးပါတယ်။"
"M3","If instructions are poorly sequenced, what is the most likely outcome?","Learners will be confused and the activity will fail.","Learners will learn faster.","Learners will naturally figure it out.","ညွှန်ကြားချက်တွေကို ရှေ့နောက်မညီဘဲ ရှုပ်ထွေးစွာ ပြောလိုက်ရင် ကျောင်းသားတွေ ဘာလုပ်ရမှန်းမသိဘဲ အချိန်ကုန်ပြီး သင်ခန်းစာ ပျက်စီးသွားနိုင်ပါတယ်။"
"M3","Before starting a pair-work game, the teacher plays one round with a strong student in front of the class. This is called:","Demonstrating / Modeling","Monitoring","Echoing","လေ့ကျင့်ခန်းကို စာနဲ့ ရှင်းပြမယ့်အစား ဆရာကိုယ်တိုင် သို့မဟုတ် ကျောင်းသားတစ်ယောက်နဲ့ တွဲပြီး လက်တွေ့ လုပ်ပြတာကို Demonstrating သို့မဟုတ် Modeling လို့ခေါ်ပါတယ်။"
"M3","Why is modeling an activity often better than just giving verbal instructions?","Because learners can see and hear exactly what is expected of them.","Because it takes less time than speaking.","Because it stops students from talking.","စကားနဲ့ အများကြီး ရှင်းပြနေတာထက် လက်တွေ့ ဥပမာလုပ်ပြလိုက်ခြင်းက ကျောင်းသားတွေကို လေ့ကျင့်ခန်းရဲ့ ပုံစံကို ချက်ချင်း မြင်သာစေပါတယ်။"
"M3","A teacher wants students to practice a dialogue. First, the teacher says the dialogue with correct intonation for the class to hear. This is:","Modeling the language","A choral drill","Peer correction","ဘာသာစကားအသစ် သို့မဟုတ် အသံထွက်ကို ကျောင်းသားတွေ မပြောခင် ဆရာက အသံထွက်မှန်မှန်နဲ့ အရင်ဆုံး ရွတ်ပြတာကို Modeling the language လို့ခေါ်ပါတယ်။"
"M3","The pause a teacher takes after asking a question before nominating a student to answer is called:","Wait time","Teacher Talking Time","Silent period","မေးခွန်းမေးပြီးနောက် ကျောင်းသားတွေ စဉ်းစားဖို့ အချိန်ခဏပေးတာကို Wait time လို့ ခေါ်ပါတယ်။"
"M3","Increasing wait time in the classroom usually results in:","More students volunteering and giving longer, better answers.","Students falling asleep.","The teacher forgetting the question.","Wait time ပေးခြင်းအားဖြင့် ဉာဏ်ရည်မတူတဲ့ ကျောင်းသားတွေအားလုံး စဉ်းစားချိန်ရသွားပြီး အဖြေမှန်ဖို့ ရာခိုင်နှုန်း ပိုများလာစေပါတယ်။"
"M3","If a teacher asks a question and answers it themselves after only one second, they are:","Not providing enough wait time.","Providing excellent feedback.","Monitoring effectively.","ဆရာက မေးခွန်းမေးပြီး ချက်ချင်းပြန်ဖြေလိုက်တာက ကျောင်းသားတွေရဲ့ တွေးခေါ်နိုင်စွမ်းကို ပိတ်ပင်လိုက်သလို ဖြစ်စေပါတယ်။"
"M3","When a teacher constantly repeats exactly what a student just said, this is known as:","Echoing","Prompting","Recasting","ကျောင်းသားဖြေလိုက်တဲ့ အဖြေကို ဆရာက အကျင့်ပါပြီး ထပ်ခါတလဲလဲ အတိအကျ လိုက်ရွတ်နေတာကို Echoing လို့ခေါ်ပါတယ်။"
"M3","Why is excessive echoing generally discouraged in language teaching?","It increases TTT and makes students stop listening to each other.","It helps students learn vocabulary faster.","It makes the teacher look smart.","ဆရာက အမြဲတမ်း ပြန်ပြန်ရွတ်ပေးနေရင် ကျောင်းသားတွေက သူတို့အချင်းချင်း ပြောတာကို နားမထောင်တော့ဘဲ ဆရာပြောတာကိုပဲ စောင့်နားထောင်တဲ့ အကျင့်ဖြစ်သွားတတ်ပါတယ်။"
"M3","A student says 'Apple.' The teacher immediately says 'Apple.' This is an example of:","Echoing","Finger correction","Eliciting","Echoing ဟာ တစ်ခါတလေ အဖြေမှန်ကြောင်း အတည်ပြုဖို့ သုံးနိုင်ပေမယ့် အမြဲတမ်းသုံးနေရင် ဆရာရဲ့ စကားပြောချိန်ကို အလဟဿ များပြားလာစေပါတယ်။"
"M3","A student says 'I goed to the park.' The teacher replies 'Oh, you WENT to the park.' This correction technique is:","Recasting","Finger correction","Peer correction","ကျောင်းသား မှားပြောလိုက်တဲ့ စကားကို ဆရာက 'မှားတယ်' လို့ တိုက်ရိုက်မပြောဘဲ မှန်ကန်တဲ့ သဒ္ဒါနဲ့ သဘာဝကျကျ ပြန်လည်ပြောပြတာကို Recasting လို့ခေါ်ပါတယ်။"
"M3","What is the main advantage of recasting?","It corrects the learner naturally without interrupting the flow of conversation.","It focuses entirely on accuracy.","It makes the learner repeat the sentence ten times.","Recasting ဟာ စကားပြောနေစဉ် အရှိန်မပျက်စေဘဲ (Fluency ကို မထိခိုက်စေဘဲ) အမှားကို သိမ်မွေ့စွာ ပြင်ပေးနိုင်တဲ့ အားသာချက်ရှိပါတယ်။"
"M3","Recasting is most appropriate during which type of activity?","Fluency activities","Controlled grammar drills","Written exams","လွတ်လပ်စွာ စကားပြောလေ့ကျင့်တဲ့ (Freer practice) အချိန်တွေမှာ ကျောင်းသားတွေ ယုံကြည်မှုမကျသွားအောင် Recasting ကို သုံးပြီး အမှားပြင်ပေးလေ့ရှိပါတယ်။"
"M3","The teacher listens during a role-play, makes notes of errors, and reviews them with the class after the activity. This is:","Delayed correction","Immediate correction","Self-correction","ကျောင်းသားတွေ စကားပြောနေစဉ်မှာ ဝင်မဖြတ်ဘဲ အမှားတွေကို မှတ်ထားကာ လေ့ကျင့်ခန်းအပြီးမှ စုပေါင်းပြီး အမှားပြင်ပေးတာကို Delayed correction လို့ခေါ်ပါတယ်။"
"M3","Delayed correction is primarily used to maintain:","Fluency","Accuracy","Discipline","စကားပြောစွမ်းရည် (Fluency) ကို လေ့ကျင့်နေတဲ့အချိန်မှာ အရှိန်မပျက်စေဖို့နဲ့ ယုံကြည်မှု တည်ဆောက်ပေးဖို့ Delayed correction ကို အသုံးပြုပါတယ်။"
"M3","During delayed correction, a good practice is to:","Write the errors anonymously on the board so the class can correct them together.","Point at the student who made the mistake.","Only focus on the spelling errors.","Delayed correction လုပ်တဲ့အခါ ဘယ်သူမှားတာလဲဆိုတာ နာမည်မတပ်ဘဲ အမှားတွေကို သင်ပုန်းပေါ်ရေးပြီး တစ်တန်းလုံး အတူတူ ပြန်စဉ်းစား ပြင်ဆင်ခိုင်းတာ အကောင်းဆုံးပါ။"
"M3","The teacher stops a student as soon as they make a mistake and corrects it. This is:","Immediate correction","Delayed correction","Concept checking","အမှားလုပ်မိတာနဲ့ ချက်ချင်း ရပ်တန့်ပြီး ပြင်ဆင်ပေးတာကို Immediate correction လို့ခေါ်ပါတယ်။"
"M3","Immediate correction is most appropriate during:","Controlled practice (Accuracy focus)","Freer speaking activities","Role-plays","Immediate correction ကို သဒ္ဒါနဲ့ အသံထွက် တိကျမှန်ကန်မှု (Accuracy) ကို အဓိကထားတဲ့ လေ့ကျင့်ခန်းတွေမှာ အများဆုံး အသုံးပြုပါတယ်။"
"M3","Interrupting a fluency task with immediate correction can cause learners to:","Lose their confidence and stop wanting to speak.","Speak faster.","Understand the grammar perfectly.","စကားပြောလေ့ကျင့်နေချိန်မှာ ခဏခဏ ဖြတ်ပြီး အမှားပြင်ပေးနေရင် ကျောင်းသားတွေ စိတ်ဓာတ်ကျပြီး စကားဆက်မပြောရဲတော့တဲ့ အထိ ဖြစ်သွားနိုင်ပါတယ်။"
"M3","When the teacher encourages a student to correct a mistake made by their classmate, this is:","Peer correction","Self-correction","Delayed correction","ကျောင်းသားတစ်ယောက်ရဲ့ အမှားကို နောက်ကျောင်းသားတစ်ယောက်က ကူညီပြီး ပြင်ဆင်ပေးတာကို Peer correction လို့ခေါ်ပါတယ်။"
"M3","What is a benefit of peer correction?","It encourages learner autonomy and builds a cooperative classroom atmosphere.","It guarantees the correction is 100% accurate.","It replaces the need for a teacher.","Peer correction ဟာ ကျောင်းသားအချင်းချင်း ပူးပေါင်းဆောင်ရွက်မှုကို အားပေးပြီး ဆရာ့အပေါ် မှီခိုလွန်းတာကို လျှော့ချပေးပါတယ်။"
"M3","A teacher must be careful with peer correction because:","Some learners might feel embarrassed being corrected by a classmate.","It takes too long.","It is against Cambridge rules.","ကျောင်းသားအချင်းချင်း အမှားပြင်ပေးတဲ့အခါ အချို့ကျောင်းသားတွေက ရှက်တာ၊ စိတ်ခုတာမျိုး ဖြစ်တတ်လို့ ဆရာက သတိထားပြီး ထိန်းကျောင်းပေးရပါမယ်။"
"M3","The teacher points out an error but gives the learner time to fix it themselves. This is:","Self-correction","Peer correction","Recasting","ဆရာက အဖြေမှန်ကို တန်းမပြောပြဘဲ ကျောင်းသားကို မှားနေကြောင်း အရိပ်အမြွက်ပြပြီး ကိုယ်တိုင် ပြန်ပြင်နိုင်အောင် အခွင့်အရေးပေးတာ Self-correction ဖြစ်ပါတယ်။"
"M3","A student says 'He go to school.' The teacher says 'He...?' The student replies 'He goes.' This shows:","Self-correction","Finger correction","Delayed correction","ကျောင်းသားကိုယ်တိုင် အမှားကို သတိပြုမိပြီး ပြန်ပြင်နိုင်ခြင်း (Self-correction) ဟာ သူတို့ တကယ်နားလည်နေပြီ ဆိုတာကို ပြသတဲ့ အကောင်းဆုံး လက္ခဏာဖြစ်ပါတယ်။"
"M3","Self-correction is highly effective for dealing with:","Slips (mistakes made due to tiredness or speed, not lack of knowledge).","New vocabulary they have never seen.","L1 interference.","ကျောင်းသားသိပြီးသားကို မတော်တဆ မှားပြောမိတဲ့ (Slips) တွေအတွက် Self-correction လုပ်ခိုင်းတာ အထိရောက်ဆုံး ဖြစ်ပါတယ်။"
"M3","The teacher holds up their fingers to represent words in a sentence and points to one finger to show a missing word. This is:","Finger correction","Echoing","Prompting","လက်ချောင်းလေးတွေကို စကားလုံး တစ်လုံးစီအဖြစ် သတ်မှတ်ပြီး ဘယ်နေရာမှာ မှားနေလဲဆိုတာ မျက်စိနဲ့ မြင်သာအောင် ပြသတဲ့နည်းကို Finger correction လို့ခေါ်ပါတယ်။"
"M3","Finger correction is particularly useful for highlighting:","Missing words (omissions) or contractions.","Cultural differences.","Advanced essay structure.","ဝါကျထဲမှာ စကားလုံး တစ်လုံးကျန်ခဲ့တာမျိုးကို ပြသဖို့ Finger correction က အလွန်ထိရောက်ပါတယ်။"
"M3","By using finger correction, the teacher provides a:","Visual prompt to help the learner self-correct.","Verbal explanation of the grammar rule.","Negative reinforcement.","လက်ချောင်းလေးတွေနဲ့ ညွှန်ပြခြင်းဟာ နှုတ်ကနေ ရှင်းပြစရာမလိုဘဲ ကျောင်းသားကိုယ်တိုင် အမှားကို မြင်ပြီး ပြန်ပြင်နိုင်အောင် ကူညီပေးတဲ့ အမြင်အာရုံ အထောက်အကူ (Visual prompt) ဖြစ်ပါတယ်။"
"M3","When the teacher steps back and supports learners to discover things for themselves, their role is:","Facilitator","Dictator","Assessor","ကျောင်းသားတွေ လွတ်လပ်စွာ သင်ယူနိုင်ဖို့ အခွင့်အရေး ဖန်တီးပေးပြီး ဘေးကနေ ပံ့ပိုးကူညီပေးတဲ့ ဆရာ့အခန်းကဏ္ဍကို Facilitator လို့ခေါ်ပါတယ်။"
"M3","In a highly student-centered classroom, the teacher frequently adopts the role of a:","Facilitator","Assessor","Manager","Facilitator အခန်းကဏ္ဍမှာ ဆရာက အရာအားလုံးကို ထိန်းချုပ်မထားဘဲ ကျောင်းသားတွေ ကိုယ်တိုင် ပါဝင်လုပ်ဆောင်မှုကို အားပေးပါတယ်။"
"M3","During a free role-play activity, the teacher sits quietly in the corner. The teacher is acting as a:","Facilitator / Monitor","Presenter","Planner","စကားပြော လေ့ကျင့်ခန်းတွေမှာ ဆရာက ဝင်မစွက်ဖက်ဘဲ ကျောင်းသားတွေ အချင်းချင်း လွတ်လပ်စွာ ဆက်သွယ်နိုင်အောင် နေရာဖယ်ပေးထားတာက Facilitator ရဲ့ လုပ်ရပ်ဖြစ်ပါတယ်။"
"M3","When the teacher is directing the class, giving instructions, and moving students into groups, their role is:","Manager / Controller","Assessor","Prompter","စာသင်ခန်းကို စနစ်တကျရှိအောင် ညွှန်ကြားချက်တွေပေးတာ၊ အုပ်စုဖွဲ့ပေးတာတွေ လုပ်တဲ့အခါ ဆရာဟာ Manager/Controller ဖြစ်ပါတယ်။"
"M3","A teacher says, 'Stop writing and look at the board.' The teacher is acting as a:","Manager","Facilitator","Resource","စာသင်ခန်းတွင်း လှုပ်ရှားမှုတွေကို တိတိကျကျ အမိန့်ပေး ထိန်းချုပ်တဲ့အခါ ဆရာဟာ စာသင်ခန်းကို အုပ်ချုပ်သူ (Manager) အဖြစ် ဆောင်ရွက်နေတာပါ။"
"M3","The 'Manager' role is most prominent during which stage of a lesson?","Setting up activities and giving instructions.","Freer practice.","Self-assessment.","လေ့ကျင့်ခန်းတွေ စတင်ခါနီး ညွှန်ကြားချက်ပေးတဲ့ အချိန်တွေမှာ ရှင်းလင်းပြတ်သားတဲ့ Manager ရဲ့ အခန်းကဏ္ဍက အလွန်အရေးကြီးပါတယ်။"
"M3","When the teacher is evaluating students' work, marking a test, or giving feedback, their role is:","Assessor","Prompter","Facilitator","ကျောင်းသားတွေရဲ့ အရည်အချင်း၊ အမှားအယွင်း နဲ့ တိုးတက်မှုကို အကဲဖြတ်ပြီး အမှတ်ပေးတာ၊ အကြံပြုချက်ပေးတာတွေ လုပ်တဲ့အခါ ဆရာဟာ Assessor ဖြစ်ပါတယ်။"
"M3","While walking around the class, the teacher notes down errors on a clipboard. The teacher is acting as an:","Assessor","Manager","Participant","ကျောင်းသားတွေရဲ့ အားနည်းချက်၊ အားသာချက်တွေကို သိရှိဖို့ စောင့်ကြည့် အကဲဖြတ်တဲ့ လုပ်ငန်းစဉ်တိုင်းဟာ Assessor ရဲ့ တာဝန်ဖြစ်ပါတယ်။"
"M3","At the end of a speaking task, the teacher tells the class what they did well. This is the role of an:","Assessor","Planner","Resource","လေ့ကျင့်ခန်းအပြီးမှာ ကျောင်းသားတွေကို သူတို့ရဲ့ စွမ်းဆောင်ရည်နဲ့ ပတ်သက်ပြီး အပြုသဘောဆောင်တဲ့ သုံးသပ်ချက် တွေ ပေးတာက Assessor ရဲ့ အခန်းကဏ္ဍပါ။"
"M3","When a student asks, 'What does extinct mean?' and the teacher explains it, the teacher is acting as a:","Resource","Manager","Assessor","ကျောင်းသားတွေ သိချင်တဲ့ အချက်အလက် ကို လာရောက်မေးမြန်းတဲ့အခါ ဆရာဟာ အဘိဓာန်/သတင်းအချက်အလက် ရင်းမြစ် (Resource) အဖြစ် တာဝန်ယူပါတယ်။"
"M3","If the teacher tells students, 'If you need help with spelling, come ask me', the teacher is positioning themselves as a:","Resource","Controller","Prompter","Resource အခန်းကဏ္ဍမှာ ဆရာက ကိုယ်တိုင် ဝင်မစွက်ဖက်ဘဲ ကျောင်းသားတွေ လိုအပ်မှသာ အကူအညီပေးဖို့ အသင့်စောင့်နေပေးပါတယ်။"
"M3","Acting as a 'Resource' is heavily associated with promoting:","Learner autonomy.","Strict discipline.","Teacher Talking Time.","ဆရာက အရာအားလုံးကို ကြိုမပြောဘဲ ကျောင်းသားတွေ လိုအပ်လာမှ မေးမြန်းစေခြင်းက ကိုယ်ပိုင်သင်ယူနိုင်စွမ်း (Learner autonomy) ကို မြင့်တက်စေပါတယ်။"
"M3","What does TTT stand for in language teaching?","Teacher Talking Time","Task Testing Time","Teacher Thinking Time","စာသင်ခန်းထဲမှာ ဆရာက စကားပြောနေတဲ့ အချိန်ပမာဏကို Teacher Talking Time (TTT) လို့ အတိုကောက် ခေါ်ပါတယ်။"
"M3","What is generally considered best practice regarding TTT and STT (Student Talking Time)?","STT should be maximized, and TTT should be minimized.","TTT should be 100% of the lesson.","STT should only happen at the end of the term.","ဘာသာစကား သင်တန်းတွေမှာ ကျောင်းသားတွေ စကားပြောချိန် (STT) ကို အများဆုံးထားပြီး၊ ဆရာပြောချိန် (TTT) ကို လိုအပ်မှသာ ထိထိရောက်ရောက် သုံးဖို့ အကြံပြုပါတယ်။"
"M3","How can a teacher reduce unnecessary TTT?","By using gestures, eliciting, and giving clear instructions.","By explaining every grammar rule in three different ways.","By echoing everything the students say.","မလိုအပ်ဘဲ ဆရာစကားပြောချိန် (TTT) များနေတာကို လျှော့ချဖို့အတွက် လက်ဟန်ခြေဟန်သုံးတာ၊ Eliciting လုပ်တာတွေကို သုံးနိုင်ပါတယ်။"
"M3","When might using the learners' L1 (mother tongue) be beneficial in an English class?","To quickly resolve a complex classroom management issue.","To translate every single reading text.","To stop students from learning English.","မိခင်ဘာသာစကား (L1) ကို လုံးဝမသုံးရဘူးလို့ မဆိုလိုပါဘူး။ ရှုပ်ထွေးတဲ့ ညွှန်ကြားချက်တွေကို ရှင်းပြရာမှာ အချိန်ကုန်သက်သာဖို့ L1 ကို သုံးနိုင်ပါတယ်။"
"M3","A strict 'English Only' rule might negatively affect beginners because:","It can cause anxiety if they cannot express basic needs.","They already know all the English words.","It makes them too fluent.","Beginner အတန်းတွေမှာ အင်္ဂလိပ်လိုချည်းပဲ အတင်းအကျပ် သုံးခိုင်းတာက ကျောင်းသားတွေကို ကြောက်ရွံ့သွားစေပြီး စိတ်ဓာတ်ကျသွားစေနိုင်ပါတယ်။"
"M3","If a student constantly relies on L1 to answer questions, the teacher should:","Encourage them to try in English and provide prompts.","Ignore them completely.","Translate it for them every time.","ကျောင်းသားက မြန်မာလိုချည်းပဲ ပြောနေရင် သူတို့ အင်္ဂလိပ်လို ပြောနိုင်အောင် လိုအပ်တဲ့ စကားလုံးလေးတွေ (Prompts) ပံ့ပိုးပေးရပါမယ်။"
"M3","Which interaction pattern maximizes Student Talking Time (STT) the most?","Pair work","Whole-class discussion","Individual writing","ကျောင်းသား နှစ်ယောက်တစ်တွဲ (Pair work) စကားပြောခိုင်းခြင်းက တစ်တန်းလုံး တစ်ပြိုင်နက်တည်း စကားပြောခွင့်ရလို့ STT ကို အမြင့်ဆုံး ရရှိစေပါတယ်။"
"M3","Pair work is highly effective for:","Practicing dialogues and sharing ideas before speaking to the whole class.","Taking a summative exam.","Listening to the teacher.","တစ်တန်းလုံးရှေ့မှာ မပြောခင် ကျောင်းသားအချင်းချင်း အတွဲလိုက် အရင်ဆွေးနွေးခိုင်းခြင်းက သူတို့ရဲ့ ယုံကြည်မှုကို တိုးလာစေပါတယ်။"
"M3","A potential disadvantage of pair work is:","Students might use their L1 if the teacher is not monitoring.","It is too quiet.","It lowers STT.","Pair work လုပ်တဲ့အခါ ဆရာက သေချာ မစောင့်ကြည့်ရင် ကျောင်းသားတွေက မိခင်ဘာသာစကား (L1) နဲ့ အတင်းပြောတာမျိုး ဖြစ်သွားနိုင်ပါတယ်။"
"M3","An activity where all students stand up and walk around the room to talk to different classmates is called:","A mingle","A choral drill","Individual work","ကျောင်းသားအားလုံး မတ်တတ်ရပ်ပြီး အတန်းထဲ လျှောက်သွားကာ သူငယ်ချင်း အများကြီးနဲ့ အပြန်အလှန် စကားပြောရတဲ့ လေ့ကျင့်ခန်းကို Mingling လို့ခေါ်ပါတယ်။"
"M3","What is the main benefit of a mingling activity?","It allows students to practice the target language multiple times with different people.","It keeps the classroom perfectly silent.","It focuses entirely on reading.","Mingling လေ့ကျင့်ခန်းတွေမှာ လူပြောင်းပြီး ခဏခဏ ပြောရတဲ့အတွက် သင်ထားတဲ့ စကားလုံးတွေကို အလိုလို လေ့ကျင့်ပြီးသား ဖြစ်သွားစေပါတယ်။"
"M3","Which task is a classic example of a mingling activity?","Find Someone Who...","Reading a text quietly.","Copying grammar rules.","'Find Someone Who...' ကဲ့သို့သော လေ့ကျင့်ခန်းတွေဟာ ကျောင်းသားတွေကို တက်ကြွစွာ လှုပ်ရှားစေပြီး လူမှုရေးဆက်ဆံရေး ကိုပါ ကောင်းမွန်စေပါတယ်။"
"M3","Which seating arrangement is best for encouraging whole-class discussion?","Horseshoe / U-shape","Traditional rows","Individual pods","ခုံတွေကို U ပုံစံ စီထားခြင်းက ကျောင်းသားတွေ အချင်းချင်း မျက်နှာချင်းဆိုင် မြင်ရပြီး တစ်တန်းလုံး ဆွေးနွေးတဲ့အခါ အလွန်အဆင်ပြေပါတယ်။"
