"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M1","Which methodology relies on students listening to commands and doing physical actions?","Total Physical Response (TPR)","Task-Based Learning","Lexical Approach","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","Another way to test this concept: Identify the methodology relies on students listening to commands and doing physical actions?","Total Physical Response (TPR)","Task-Based Learning","Lexical Approach","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","A teacher says 'Stand up and touch the door.' The students follow the command. This is:","TPR","CLT","Grammar-Translation","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","Another way to test this concept: A teacher says 'Stand up and touch the door.' The students follow the command. This is:","TPR","CLT","Grammar-Translation","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","TPR is particularly effective for:","Young learners and beginners.","Advanced academic writers.","Students preparing for IELTS.","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","A teacher says 'Jump' and students jump. This technique belongs to:","Young learners and beginners.","Advanced academic writers.","Students preparing for IELTS.","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","In a TPR lesson, when do students usually start speaking?","When they feel ready (the silent period).","Immediately on the first day.","Only after writing the words down.","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","A teacher says 'Jump' and students jump. This technique belongs to:","When they feel ready (the silent period).","Immediately on the first day.","Only after writing the words down.","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","Which psychological concept is TPR based on?","Reducing stress and imitating how children learn their L1.","Strict habit formation through drilling.","Learning grammar through translation.","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","A teacher says 'Jump' and students jump. This technique belongs to:","Reducing stress and imitating how children learn their L1.","Strict habit formation through drilling.","Learning grammar through translation.","ဆရာက အမိန့်ပေးစကားပြောပြီး ကျောင်းသားတွေက ခန္ဓာကိုယ်လှုပ်ရှားမှု (physical action) နဲ့ တုံ့ပြန်ရတဲ့ သင်ကြားနည်းကို TPR လို့ခေါ်ပါတယ်။"
"M1","Which method focuses heavily on reading, writing, and translating into the mother tongue?","Grammar-Translation Method","Direct Method","Audio-lingual Method","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","Another way to test this concept: Identify the method focuses heavily on reading, writing, and translating into the mother tongue?","Grammar-Translation Method","Direct Method","Audio-lingual Method","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","In the Grammar-Translation method, the main focus is on:","Accuracy and written form.","Fluency and speaking.","Listening comprehension.","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","Which traditional method relies on bilingual vocabulary lists and translating sentences?","Accuracy and written form.","Fluency and speaking.","Listening comprehension.","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","Which language skill is often neglected in the Grammar-Translation method?","Speaking","Reading","Writing","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","Which traditional method relies on bilingual vocabulary lists and translating sentences?","Speaking","Reading","Writing","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","How is vocabulary typically taught in the Grammar-Translation method?","Bilingual lists and dictionary definitions.","Through pictures and mime.","By guessing from context.","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","Which traditional method relies on bilingual vocabulary lists and translating sentences?","Bilingual lists and dictionary definitions.","Through pictures and mime.","By guessing from context.","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","A major criticism of the Grammar-Translation method is that:","Students often cannot communicate in real-life situations.","It focuses too much on pronunciation.","It uses too many physical games.","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","Which traditional method relies on bilingual vocabulary lists and translating sentences?","Students often cannot communicate in real-life situations.","It focuses too much on pronunciation.","It uses too many physical games.","မိခင်ဘာသာစကား (L1) ကို သုံးပြီး စာဖတ်ခြင်း၊ စာရေးခြင်းနဲ့ ဘာသာပြန်ခြင်းကို အဓိကထားတဲ့ ရှေးဟောင်းသင်ကြားနည်းကို Grammar-Translation လို့ခေါ်ပါတယ်။"
"M1","Which method relies on repetition, drilling, and forming habits?","Audio-lingual Method","Task-Based Learning","Grammar-Translation","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","Another way to test this concept: Identify the method relies on repetition, drilling, and forming habits?","Audio-lingual Method","Task-Based Learning","Grammar-Translation","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","The Audio-lingual Method is based on which psychological theory?","Behaviorism (stimulus and response)","Constructivism","Humanism","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","Which method believes language learning is a process of habit formation through repetition?","Behaviorism (stimulus and response)","Constructivism","Humanism","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","In the Audio-lingual Method, the teacher's response to an error is usually:","Immediate correction.","Ignoring it if communication is clear.","Peer correction at the end of the lesson.","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","Which method believes language learning is a process of habit formation through repetition?","Immediate correction.","Ignoring it if communication is clear.","Peer correction at the end of the lesson.","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","What is a common activity in the Audio-lingual Method?","Dialog memorization and substitution drills.","Free role-play.","Writing essays.","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","Which method believes language learning is a process of habit formation through repetition?","Dialog memorization and substitution drills.","Free role-play.","Writing essays.","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","Why did the Audio-lingual Method lose popularity?","Students could repeat sentences but couldn't use language creatively.","It was too focused on translation.","It didn't use enough drills.","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","Which method believes language learning is a process of habit formation through repetition?","Students could repeat sentences but couldn't use language creatively.","It was too focused on translation.","It didn't use enough drills.","အထပ်ထပ်ရွတ်ဆိုလေ့ကျင့်ခြင်း (drilling) နဲ့ အလေ့အကျင့်ဖြစ်အောင် (habit formation) သင်ပေးတဲ့စနစ်ကို Audio-lingual Method လို့ခေါ်ပါတယ်။"
"M1","Which approach teaches that language consists of 'chunks' rather than individual grammar rules?","The Lexical Approach","The Structural Approach","TPR","ဘာသာစကားဆိုတာ သဒ္ဒါစည်းမျဉ်းတွေမဟုတ်ဘဲ တွဲသုံးလေ့ရှိတဲ့ စကားလုံးအစုအဝေး (Lexical chunks) တွေနဲ့ ဖွဲ့စည်းထားတယ်လို့ ယူဆတဲ့စနစ်ပါ။"
"M1","Multi-word phrases that are memorized as a single unit (e.g., 'Have a good trip') are:","The Lexical Approach","The Structural Approach","TPR","ဘာသာစကားဆိုတာ သဒ္ဒါစည်းမျဉ်းတွေမဟုတ်ဘဲ တွဲသုံးလေ့ရှိတဲ့ စကားလုံးအစုအဝေး (Lexical chunks) တွေနဲ့ ဖွဲ့စည်းထားတယ်လို့ ယူဆတဲ့စနစ်ပါ။"
"M1","In the Lexical Approach, students are encouraged to notice:","Collocations and fixed phrases.","Individual letters.","Translation rules.","ဘာသာစကားဆိုတာ သဒ္ဒါစည်းမျဉ်းတွေမဟုတ်ဘဲ တွဲသုံးလေ့ရှိတဲ့ စကားလုံးအစုအဝေး (Lexical chunks) တွေနဲ့ ဖွဲ့စည်းထားတယ်လို့ ယူဆတဲ့စနစ်ပါ။"
"M1","Which approach focuses on teaching fixed expressions and collocations rather than grammar rules?","Collocations and fixed phrases.","Individual letters.","Translation rules.","ဘာသာစကားဆိုတာ သဒ္ဒါစည်းမျဉ်းတွေမဟုတ်ဘဲ တွဲသုံးလေ့ရှိတဲ့ စကားလုံးအစုအဝေး (Lexical chunks) တွေနဲ့ ဖွဲ့စည်းထားတယ်လို့ ယူဆတဲ့စနစ်ပါ။"
"M1","Which teaching method completely bans the use of the mother tongue (L1) in the classroom?","The Direct Method","Grammar-Translation","CLIL","မိခင်ဘာသာစကား (L1) ကို လုံးဝအသုံးမပြုဘဲ Target language နဲ့သာ တိုက်ရိုက်သင်ကြားတဲ့စနစ်ကို The Direct Method လို့ခေါ်ပါတယ်။"
"M1","Another way to test this concept: Identify the teaching method completely bans the use of the mother tongue (L1) in the classroom?","The Direct Method","Grammar-Translation","CLIL","မိခင်ဘာသာစကား (L1) ကို လုံးဝအသုံးမပြုဘဲ Target language နဲ့သာ တိုက်ရိုက်သင်ကြားတဲ့စနစ်ကို The Direct Method လို့ခေါ်ပါတယ်။"
"M1","How is meaning conveyed in the Direct Method?","Through objects, pictures, and mime.","Through translation into L1.","By reading grammar books.","မိခင်ဘာသာစကား (L1) ကို လုံးဝအသုံးမပြုဘဲ Target language နဲ့သာ တိုက်ရိုက်သင်ကြားတဲ့စနစ်ကို The Direct Method လို့ခေါ်ပါတယ်။"
"M1","Which teaching method forbids translation and forces students to think directly in the target language?","Through objects, pictures, and mime.","Through translation into L1.","By reading grammar books.","မိခင်ဘာသာစကား (L1) ကို လုံးဝအသုံးမပြုဘဲ Target language နဲ့သာ တိုက်ရိုက်သင်ကြားတဲ့စနစ်ကို The Direct Method လို့ခေါ်ပါတယ်။"
"M1","Teaching Science or Geography in English to help students learn both the subject and the language is called:","CLIL (Content and Language Integrated Learning)","TBL (Task-Based Learning)","PPP","ဘာသာစကားနဲ့ အခြားဘာသာရပ် (ဥပမာ - သိပ္ပံ၊ သမိုင်း) ကို တွဲဖက်သင်ကြားတဲ့စနစ်ကို CLIL လို့ခေါ်ပါတယ်။"
"M1","Another way to test this concept: Teaching Science or Geography in English to help students learn both the subject and the language is called:","CLIL (Content and Language Integrated Learning)","TBL (Task-Based Learning)","PPP","ဘာသာစကားနဲ့ အခြားဘာသာရပ် (ဥပမာ - သိပ္ပံ၊ သမိုင်း) ကို တွဲဖက်သင်ကြားတဲ့စနစ်ကို CLIL လို့ခေါ်ပါတယ်။"
"M1","A lesson where students do a task, the teacher notices their mistakes, teaches the rule, and then gives them another task is:","Test-Teach-Test (TTT)","PPP","Audio-lingual","အရင်ဆုံး စမ်းသပ်ခိုင်းပြီး (Test) လိုအပ်တာကိုမှ သင်ပေးကာ (Teach) နောက်ထပ်တဖန် ပြန်စစ်ဆေးတဲ့ (Test) စနစ်ဖြစ်ပါတယ်။"
"M1","Another way to test this concept: A lesson where students do a task, the teacher notices their mistakes, teaches the rule, and then gives them another task is:","Test-Teach-Test (TTT)","PPP","Audio-lingual","အရင်ဆုံး စမ်းသပ်ခိုင်းပြီး (Test) လိုအပ်တာကိုမှ သင်ပေးကာ (Teach) နောက်ထပ်တဖန် ပြန်စစ်ဆေးတဲ့ (Test) စနစ်ဖြစ်ပါတယ်။"
"M1","Why do teachers use the Test-Teach-Test (TTT) approach?","To identify what students already know and focus only on their needs.","To force them to memorize rules.","To ensure they translate correctly.","အရင်ဆုံး စမ်းသပ်ခိုင်းပြီး (Test) လိုအပ်တာကိုမှ သင်ပေးကာ (Teach) နောက်ထပ်တဖန် ပြန်စစ်ဆေးတဲ့ (Test) စနစ်ဖြစ်ပါတယ်။"
"M1","Starting a lesson with a diagnostic task to see what students know is the first step of:","To identify what students already know and focus only on their needs.","To force them to memorize rules.","To ensure they translate correctly.","အရင်ဆုံး စမ်းသပ်ခိုင်းပြီး (Test) လိုအပ်တာကိုမှ သင်ပေးကာ (Teach) နောက်ထပ်တဖန် ပြန်စစ်ဆေးတဲ့ (Test) စနစ်ဖြစ်ပါတယ်။"
"M1","When the teacher provides examples and asks students to figure out the grammar rule themselves, it is called:","Guided Discovery","Direct Instruction","Grammar-Translation","ဆရာက တိုက်ရိုက်မသင်ဘဲ ဥပမာတွေပြပြီး ကျောင်းသားကိုယ်တိုင် သဒ္ဒါစည်းမျဉ်းကို ရှာဖွေတွေ့ရှိအောင် လမ်းညွှန်ပေးတဲ့စနစ် (Guided Discovery) ပါ။"
"M1","Another way to test this concept: When the teacher provides examples and asks students to figure out the grammar rule themselves, it is called:","Guided Discovery","Direct Instruction","Grammar-Translation","ဆရာက တိုက်ရိုက်မသင်ဘဲ ဥပမာတွေပြပြီး ကျောင်းသားကိုယ်တိုင် သဒ္ဒါစည်းမျဉ်းကို ရှာဖွေတွေ့ရှိအောင် လမ်းညွှန်ပေးတဲ့စနစ် (Guided Discovery) ပါ။"
"M1","Which of the following is an advantage of Guided Discovery?","It makes the grammar rules more memorable for the students.","It is the fastest way to cover the syllabus.","It requires no teacher preparation.","ဆရာက တိုက်ရိုက်မသင်ဘဲ ဥပမာတွေပြပြီး ကျောင်းသားကိုယ်တိုင် သဒ္ဒါစည်းမျဉ်းကို ရှာဖွေတွေ့ရှိအောင် လမ်းညွှန်ပေးတဲ့စနစ် (Guided Discovery) ပါ။"
"M1","Instead of giving the rule, the teacher gives examples and asks students to find the pattern. This is:","It makes the grammar rules more memorable for the students.","It is the fastest way to cover the syllabus.","It requires no teacher preparation.","ဆရာက တိုက်ရိုက်မသင်ဘဲ ဥပမာတွေပြပြီး ကျောင်းသားကိုယ်တိုင် သဒ္ဒါစည်းမျဉ်းကို ရှာဖွေတွေ့ရှိအောင် လမ်းညွှန်ပေးတဲ့စနစ် (Guided Discovery) ပါ။"
"M1","Inductive learning is another name for:","Guided Discovery","Grammar-Translation","Rote memorization","ဆရာက တိုက်ရိုက်မသင်ဘဲ ဥပမာတွေပြပြီး ကျောင်းသားကိုယ်တိုင် သဒ္ဒါစည်းမျဉ်းကို ရှာဖွေတွေ့ရှိအောင် လမ်းညွှန်ပေးတဲ့စနစ် (Guided Discovery/Inductive learning) ပါ။"
"M1","Another way to test this concept: Inductive learning is another name for:","Guided Discovery","Grammar-Translation","Rote memorization","ဆရာက တိုက်ရိုက်မသင်ဘဲ ဥပမာတွေပြပြီး ကျောင်းသားကိုယ်တိုင် သဒ္ဒါစည်းမျဉ်းကို ရှာဖွေတွေ့ရှိအောင် လမ်းညွှန်ပေးတဲ့စနစ် (Guided Discovery/Inductive learning) ပါ။"
"M1","While 'Tense' refers to time (Past, Present, Future), what does 'Aspect' refer to?","How the speaker views the action (e.g., ongoing, completed).","The level of formality.","The number of syllables in the verb.","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Whether an action is viewed as ongoing or completed is described by its:","How the speaker views the action (e.g., ongoing, completed).","The level of formality.","The number of syllables in the verb.","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Which aspect is used to show that an action is ongoing and not yet finished?","Continuous aspect","Perfect aspect","Simple aspect","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Another way to test this concept: Identify the aspect is used to show that an action is ongoing and not yet finished?","Continuous aspect","Perfect aspect","Simple aspect","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Which aspect links an action to a later point in time (e.g., action in the past, result in the present)?","Perfect aspect","Continuous aspect","Simple aspect","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Another way to test this concept: Identify the aspect links an action to a later point in time (e.g., action in the past, result in the present)?","Perfect aspect","Continuous aspect","Simple aspect","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","In the sentence 'I have been studying', what is the aspect?","Perfect Continuous","Simple Past","Present Simple","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Another way to test this concept: In the sentence 'I have been studying', what is the aspect?","Perfect Continuous","Simple Past","Present Simple","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","In 'She had left before I arrived', what aspect is 'had left'?","Perfect aspect","Continuous aspect","Simple aspect","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Another way to test this concept: In 'She had left before I arrived', what aspect is 'had left'?","Perfect aspect","Continuous aspect","Simple aspect","Tense က အချိန်ကိုပြပြီး Aspect ကတော့ အဲဒီလုပ်ရပ်ဟာ ပြီးသွားပြီလား၊ ဖြစ်နေဆဲလား ဆိုတဲ့ အခြေအနေ (continuous/perfect) ကို ပြပါတယ်။"
"M1","Verbs that describe states, feelings, or thoughts (like 'know', 'believe', 'love') are called:","Stative verbs","Dynamic verbs","Action verbs","လှုပ်ရှားမှုမပါတဲ့ စိတ်ခံစားချက်၊ အသိဉာဏ်နဲ့ အခြေအနေပြ ကိရိယာတွေကို Stative verbs လို့ ခေါ်ပါတယ်။ ၎င်းတို့ကို -ing ပုံစံ သုံးလေ့မရှိပါဘူး။"
