category,question_text,correct_option,wrong_option_1,wrong_option_2,explanation
"M1","A student says 'I goed' because they haven't learned irregular verbs yet. This is an:","Error","Slip","Omission","သိပေမယ့် မတော်တဆမှားတာ (Slip) နဲ့ တကယ်မသိလို့မှားတာ (Error) ကို ခွဲခြားပါ။ Slip ဆိုရင် ကျောင်းသားကို သူ့ဟာသူ ပြန်ပြင်ခိုင်း (self-correct) လို့ရပါတယ်။"
"M1","What is the best way for a teacher to handle a 'slip'?","Give the student a chance to self-correct.","Explain the grammar rule again.","Ignore it completely every time.","သိပေမယ့် မတော်တဆမှားတာ (Slip) နဲ့ တကယ်မသိလို့မှားတာ (Error) ကို ခွဲခြားပါ။ Slip ဆိုရင် ကျောင်းသားကို သူ့ဟာသူ ပြန်ပြင်ခိုင်း (self-correct) လို့ရပါတယ်။"
"M1","Making a mistake because of the rules of your mother tongue is called:","L1 interference","Overgeneralization","A slip","မိခင်ဘာသာစကား (L1) ရဲ့ သဒ္ဒါ သို့မဟုတ် စကားလုံးတွေ လွှမ်းမိုးမှုကြောင့် အမှားလုပ်မိတာကို L1 interference သို့မဟုတ် Negative transfer လို့ခေါ်ပါတယ်။"
"M1","A Spanish student says 'I have 20 years' instead of 'I am 20'. This is an example of:","L1 interference","Overgeneralization","Formative assessment","မိခင်ဘာသာစကား (L1) ရဲ့ သဒ္ဒါ သို့မဟုတ် စကားလုံးတွေ လွှမ်းမိုးမှုကြောင့် အမှားလုပ်မိတာကို L1 interference သို့မဟုတ် Negative transfer လို့ခေါ်ပါတယ်။"
"M1","'False friends' (words that look similar in L1 but mean something different in English) often cause:","Negative transfer","Positive transfer","Fluency","မိခင်ဘာသာစကား (L1) ရဲ့ သဒ္ဒါ သို့မဟုတ် စကားလုံးတွေ လွှမ်းမိုးမှုကြောင့် အမှားလုပ်မိတာကို L1 interference သို့မဟုတ် Negative transfer လို့ခေါ်ပါတယ်။"
"M1","A student says 'two mouses' instead of 'two mice'. This is an example of:","Overgeneralization","L1 interference","A slip","ပုံမှန်သဒ္ဒါစည်းမျဉ်းတစ်ခု (ဥပမာ -ed, -s ဆက်တာ) ကို ခြွင်းချက်စကားလုံးတွေ (irregular forms) မှာပါ အလွန်အကျွံ လိုက်သုံးမိတာကို Overgeneralization လို့ခေါ်ပါတယ်။"
"M1","Applying a regular grammar rule to an irregular word is called:","Overgeneralization","Translation","Extensive reading","ပုံမှန်သဒ္ဒါစည်းမျဉ်းတစ်ခု (ဥပမာ -ed, -s ဆက်တာ) ကို ခြွင်းချက်စကားလုံးတွေ (irregular forms) မှာပါ အလွန်အကျွံ လိုက်သုံးမိတာကို Overgeneralization လို့ခေါ်ပါတယ်။"
"M1","Which error is an example of overgeneralization?","He buyed a new car.","I am agree with you.","The book of my friend.","ပုံမှန်သဒ္ဒါစည်းမျဉ်းတစ်ခု (ဥပမာ -ed, -s ဆက်တာ) ကို ခြွင်းချက်စကားလုံးတွေ (irregular forms) မှာပါ အလွန်အကျွံ လိုက်သုံးမိတာကို Overgeneralization လို့ခေါ်ပါတယ်။"
"M1","Picking up language naturally by living in an English-speaking country is called:","Language acquisition (Exposure)","Language learning (Focus on form)","Drilling","သဒ္ဒါစည်းမျဉ်းတွေကို သေချာလေ့လာတာ (Focus on form/Learning) နဲ့ သဘာဝကျကျ ပတ်ဝန်းကျင်ကနေ အလိုလိုတတ်မြောက်တာ (Exposure/Acquisition) ကို ခွဲခြားပါ။"
"M1","Explicitly studying grammar rules in a classroom is an example of:","Focus on form (Learning)","Exposure (Acquisition)","Task-Based Learning","သဒ္ဒါစည်းမျဉ်းတွေကို သေချာလေ့လာတာ (Focus on form/Learning) နဲ့ သဘာဝကျကျ ပတ်ဝန်းကျင်ကနေ အလိုလိုတတ်မြောက်တာ (Exposure/Acquisition) ကို ခွဲခြားပါ။"
"M1","Reading an English storybook for pleasure helps students mostly through:","Exposure","Focus on form","Controlled practice","သဒ္ဒါစည်းမျဉ်းတွေကို သေချာလေ့လာတာ (Focus on form/Learning) နဲ့ သဘာဝကျကျ ပတ်ဝန်းကျင်ကနေ အလိုလိုတတ်မြောက်တာ (Exposure/Acquisition) ကို ခွဲခြားပါ။"
"M1","A student who takes responsibility for their own learning is called:","Autonomous","Dependent","Kinesthetic","ဆရာမပါဘဲ ကိုယ့်ဘာသာ တာဝန်ယူပြီး လေ့လာသင်ယူနိုင်စွမ်း (Learner Autonomy) ရဲ့ လက္ခဏာရပ်တွေကို စဉ်းစားပါ။"
"M1","Which action shows learner autonomy?","Using a dictionary at home to find new words.","Waiting for the teacher to translate every word.","Copying a friend's homework.","ဆရာမပါဘဲ ကိုယ့်ဘာသာ တာဝန်ယူပြီး လေ့လာသင်ယူနိုင်စွမ်း (Learner Autonomy) ရဲ့ လက္ခဏာရပ်တွေကို စဉ်းစားပါ။"
"M1","How can teachers encourage learner autonomy?","By teaching them how to use reference materials.","By never giving them homework.","By giving them the answer key to every test.","ဆရာမပါဘဲ ကိုယ့်ဘာသာ တာဝန်ယူပြီး လေ့လာသင်ယူနိုင်စွမ်း (Learner Autonomy) ရဲ့ လက္ခဏာရပ်တွေကို စဉ်းစားပါ။"
"M1","In which PPP stage does the teacher introduce the new grammar or vocabulary?","Presentation","Practice","Production","PPP သင်ကြားနည်းစနစ်မှာ အသစ်သင်ပေးခြင်း (Presentation)၊ အမှားမပါအောင် လေ့ကျင့်ခြင်း (Practice) နဲ့ လွတ်လပ်စွာ အသုံးချခြင်း (Production) အဆင့်တွေကို သတိပြုပါ။"
"M1","In which PPP stage do students do controlled gap-fill exercises?","Practice","Presentation","Production","PPP သင်ကြားနည်းစနစ်မှာ အသစ်သင်ပေးခြင်း (Presentation)၊ အမှားမပါအောင် လေ့ကျင့်ခြင်း (Practice) နဲ့ လွတ်လပ်စွာ အသုံးချခြင်း (Production) အဆင့်တွေကို သတိပြုပါ။"
"M1","In which PPP stage do students use the language freely in a role-play?","Production","Practice","Presentation","PPP သင်ကြားနည်းစနစ်မှာ အသစ်သင်ပေးခြင်း (Presentation)၊ အမှားမပါအောင် လေ့ကျင့်ခြင်း (Practice) နဲ့ လွတ်လပ်စွာ အသုံးချခြင်း (Production) အဆင့်တွေကို သတိပြုပါ။"
"M1","A lesson where students solve a problem first, and learn the grammar later, is:","Task-Based Learning (TBL)","PPP (Presentation, Practice, Production)","Grammar-Translation","ဘာသာစကားသင်ခန်းစာကို အရင်မသင်ဘဲ လက်တွေ့လုပ်ငန်း (Task) ကို အရင်လုပ်ခိုင်းပြီးမှ လိုအပ်တဲ့ ဘာသာစကားကို လေ့လာတဲ့စနစ် (Task-Based Learning) ကို စဉ်းစားပါ။"
"M1","What is the primary focus of Task-Based Learning?","Completing a communicative task.","Memorizing grammar rules perfectly.","Writing out lists of vocabulary.","ဘာသာစကားသင်ခန်းစာကို အရင်မသင်ဘဲ လက်တွေ့လုပ်ငန်း (Task) ကို အရင်လုပ်ခိုင်းပြီးမှ လိုအပ်တဲ့ ဘာသာစကားကို လေ့လာတဲ့စနစ် (Task-Based Learning) ကို စဉ်းစားပါ။"
"M1","In Task-Based Learning (TBL), explicit language focus usually happens:","After the communicative task is completed.","Before the task begins.","During a choral drill.","ဘာသာစကားသင်ခန်းစာကို အရင်မသင်ဘဲ လက်တွေ့လုပ်ငန်း (Task) ကို အရင်လုပ်ခိုင်းပြီးမှ လိုအပ်တဲ့ ဘာသာစကားကို လေ့လာတဲ့စနစ် (Task-Based Learning) ကို စဉ်းစားပါ။"
"M1","Asking 'Did the action finish in the past?' to check understanding is a:","Concept Checking Question (CCQ)","Diagnostic test","Rhetorical question","ကျောင်းသားတွေ တကယ်နားလည်မှု ရှိ/မရှိ စစ်ဆေးဖို့ မေးတဲ့ ရိုးရှင်းတဲ့မေးခွန်းတိုလေးတွေကို Concept Checking Questions (CCQs) လို့ ခေါ်ပါတယ်။"
"M1","Why do teachers use Concept Checking Questions (CCQs)?","To verify students understand the target meaning.","To check their spelling.","To test their listening skills.","ကျောင်းသားတွေ တကယ်နားလည်မှု ရှိ/မရှိ စစ်ဆေးဖို့ မေးတဲ့ ရိုးရှင်းတဲ့မေးခွန်းတိုလေးတွေကို Concept Checking Questions (CCQs) လို့ ခေါ်ပါတယ်။"
"M1","A good Concept Checking Question (CCQ) should be:","Simple and require a short 'yes/no' or one-word answer.","Long and complex.","Using vocabulary the students don't know yet.","ကျောင်းသားတွေ တကယ်နားလည်မှု ရှိ/မရှိ စစ်ဆေးဖို့ မေးတဲ့ ရိုးရှင်းတဲ့မေးခွန်းတိုလေးတွေကို Concept Checking Questions (CCQs) လို့ ခေါ်ပါတယ်။"
"M1","A repetition drill is an example of:","Controlled practice","Freer practice","Diagnostic testing","အမှားကင်းဖို့ သတ်မှတ်ထားတဲ့အတိုင်း လေ့ကျင့်တာ (Controlled practice/Accuracy) နဲ့ ကိုယ်ပိုင်အကြံဉာဏ်နဲ့ လွတ်လပ်စွာ သုံးတာ (Freer practice/Fluency) ကို ခွဲခြားပါ။"
"M1","A debate where students express their own opinions using target grammar is:","Freer practice","Controlled practice","A choral drill","အမှားကင်းဖို့ သတ်မှတ်ထားတဲ့အတိုင်း လေ့ကျင့်တာ (Controlled practice/Accuracy) နဲ့ ကိုယ်ပိုင်အကြံဉာဏ်နဲ့ လွတ်လပ်စွာ သုံးတာ (Freer practice/Fluency) ကို ခွဲခြားပါ။"
"M1","The main goal of controlled practice is:","Accuracy","Fluency","Learner autonomy","အမှားကင်းဖို့ သတ်မှတ်ထားတဲ့အတိုင်း လေ့ကျင့်တာ (Controlled practice/Accuracy) နဲ့ ကိုယ်ပိုင်အကြံဉာဏ်နဲ့ လွတ်လပ်စွာ သုံးတာ (Freer practice/Fluency) ကို ခွဲခြားပါ။"
"M1","When the whole class repeats a sentence together, it is called a:","Choral drill","Individual drill","Role-play","အသံထွက်မှန်ဖို့နဲ့ စကားလုံးတွေ မှတ်မိဖို့အတွက် အတူတူရွတ်ဆို လေ့ကျင့်တာကို Drilling လို့ ခေါ်ပါတယ်။"
"M1","When the teacher says a word and asks one specific student to repeat it, this is an:","Individual drill","Choral drill","Assessment","အသံထွက်မှန်ဖို့နဲ့ စကားလုံးတွေ မှတ်မိဖို့အတွက် အတူတူရွတ်ဆို လေ့ကျင့်တာကို Drilling လို့ ခေါ်ပါတယ်။"
"M1","What is the main purpose of drilling in the classroom?","To improve pronunciation and memorize forms.","To improve reading speed.","To practice creative writing.","အသံထွက်မှန်ဖို့နဲ့ စကားလုံးတွေ မှတ်မိဖို့အတွက် အတူတူရွတ်ဆို လေ့ကျင့်တာကို Drilling လို့ ခေါ်ပါတယ်။"
"M1","A test given at the start of a course to find out what students don't know is a:","Diagnostic test","Placement test","Summative test","သင်တန်းမစခင် ကျောင်းသားတွေရဲ့ အားနည်းချက်/အားသာချက်တွေကို ရှာဖွေပြီး သင်ခန်းစာပြင်ဆင်ဖို့ စစ်ဆေးတဲ့ စာမေးပွဲကို Diagnostic test လို့ ခေါ်ပါတယ်။"
"M1","The main purpose of a diagnostic test is to:","Help the teacher plan the syllabus and lessons.","Give the student a final grade.","Put the student in the correct class level.","သင်တန်းမစခင် ကျောင်းသားတွေရဲ့ အားနည်းချက်/အားသာချက်တွေကို ရှာဖွေပြီး သင်ခန်းစာပြင်ဆင်ဖို့ စစ်ဆေးတဲ့ စာမေးပွဲကို Diagnostic test လို့ ခေါ်ပါတယ်။"
"M1","Diagnostic tests focus primarily on identifying:","Strengths and weaknesses.","Overall fluency.","Which class the student should join.","သင်တန်းမစခင် ကျောင်းသားတွေရဲ့ အားနည်းချက်/အားသာချက်တွေကို ရှာဖွေပြီး သင်ခန်းစာပြင်ဆင်ဖို့ စစ်ဆေးတဲ့ စာမေးပွဲကို Diagnostic test လို့ ခေါ်ပါတယ်။"
"M1","A test used to put a new student in the correct level class (e.g., Pre-Intermediate) is a:","Placement test","Diagnostic test","Formative test","ကျောင်းသားအသစ်တစ်ယောက် ဘယ် Level အတန်းမှာ တက်ရမလဲဆိုတာ သတ်မှတ်ပေးဖို့ စစ်ဆေးတဲ့ စာမေးပွဲကို Placement test လို့ ခေါ်ပါတယ်။"
"M1","If a student takes a test and is assigned to 'Room A', they likely took a:","Placement test","Summative test","Diagnostic test","ကျောင်းသားအသစ်တစ်ယောက် ဘယ် Level အတန်းမှာ တက်ရမလဲဆိုတာ သတ်မှတ်ပေးဖို့ စစ်ဆေးတဲ့ စာမေးပွဲကို Placement test လို့ ခေါ်ပါတယ်။"
"M1","Placement tests are typically administered:","Before the student joins a class.","At the end of the school year.","Every single week.","ကျောင်းသားအသစ်တစ်ယောက် ဘယ် Level အတန်းမှာ တက်ရမလဲဆိုတာ သတ်မှတ်ပေးဖို့ စစ်ဆေးတဲ့ စာမေးပွဲကို Placement test လို့ ခေါ်ပါတယ်။"
"M1","Assessing students continuously during the term to give them feedback and help them improve is:","Formative assessment","Summative assessment","Placement testing","သင်ယူနေဆဲကာလမှာ တိုးတက်ဖို့ အကဲဖြတ်တာ (Formative) နဲ့ သင်တန်းအပြီးမှာ အမှတ်ပေးဖို့ စစ်ဆေးတာ (Summative) ကို ခွဲခြားပါ။"
"M1","A final exam at the end of the year to give a grade is an example of:","Summative assessment","Formative assessment","Diagnostic testing","သင်ယူနေဆဲကာလမှာ တိုးတက်ဖို့ အကဲဖြတ်တာ (Formative) နဲ့ သင်တန်းအပြီးမှာ အမှတ်ပေးဖို့ စစ်ဆေးတာ (Summative) ကို ခွဲခြားပါ။"
